movie_id,tomatometer,audience_score
547,24%,48%
548,19%,22%
550,28%,56%
549,92%,88%
553,74%,94%
554,8%,27%
559,,73%
555,93%,93%
558,21%,48%
510,34%,83%
556,96%,83%
562,90%,86%
564,33%,21%
565,91%,70%
563,75%,75%
567,60%,71%
566,42%,40%
568,89%,59%
569,31%,53%
575,23%,70%
571,40%,64%
576,,
574,91%,55%
572,,46%
580,63%,50%
577,50%,53%
581,97%,89%
588,57%,94%
586,65%,80%
585,62%,46%
587,,53%
593,96%,95%
590,83%,87%
591,,46%
589,93%,94%
594,,
595,,
596,0%,32%
599,,
597,63%,68%
511,43%,80%
600,83%,70%
603,19%,49%
606,28%,30%
604,,
607,,
612,45%,18%
611,27%,37%
608,94%,93%
616,64%,70%
619,0%,22%
618,14%,36%
621,93%,80%
625,,
628,,
630,,40%
633,77%,62%
631,20%,38%
634,0%,19%
636,,39%
638,74%,79%
640,18%,34%
637,31%,47%
639,33%,36%
647,85%,66%
648,64%,71%
653,50%,60%
656,18%,36%
657,,
658,,
660,36%,23%
663,42%,77%
664,7%,49%
661,91%,66%
665,,45%
671,80%,88%
678,,81%
673,43%,63%
672,,
674,74%,56%
679,50%,78%
675,,
682,,55%
685,47%,79%
684,0%,10%
688,31%,29%
687,71%,50%
691,10%,63%
692,8%,26%
694,,47%
695,0%,43%
697,14%,27%
698,0%,50%
696,77%,60%
700,67%,68%
703,100%,83%
701,,81%
704,,
706,13%,83%
705,,69%
702,83%,87%
707,31%,39%
711,,
710,9%,31%
714,71%,88%
716,48%,70%
713,20%,33%
722,,67%
719,43%,49%
723,100%,38%
724,56%,65%
725,45%,34%
727,,
730,56%,36%
733,,
734,0%,19%
726,,12%
729,100%,88%
732,53%,46%
731,16%,31%
742,15%,30%
737,27%,14%
747,20%,37%
743,8%,31%
746,,0%
748,,
744,,
752,,
751,83%,81%
754,50%,52%
756,80%,75%
757,,
755,78%,57%
759,86%,81%
764,86%,68%
762,11%,24%
770,,
766,75%,71%
768,80%,93%
767,50%,55%
772,,80%
773,78%,66%
777,,62%
776,36%,
778,91%,93%
775,90%,65%
779,5%,35%
781,51%,75%
783,,
785,,67%
784,54%,51%
782,79%,77%
788,,32%
787,,80%
786,38%,39%
795,,12%
799,64%,71%
802,50%,59%
798,27%,37%
803,88%,70%
808,,
804,61%,41%
806,74%,46%
809,18%,23%
810,5%,20%
813,11%,29%
816,38%,54%
822,,89%
824,,67%
821,,
828,,
829,19%,42%
831,63%,68%
830,50%,68%
834,,45%
836,,
833,19%,37%
832,,
835,,
837,,59%
842,15%,31%
846,80%,72%
838,,
843,,
848,33%,76%
849,53%,39%
847,43%,60%
851,68%,77%
852,71%,65%
853,,79%
857,,71%
856,,
858,98%,98%
864,,93%
866,89%,82%
868,67%,62%
869,62%,43%
870,4%,37%
874,,47%
871,,
875,,73%
865,67%,88%
882,75%,43%
881,20%,32%
884,36%,44%
886,,
879,36%,34%
885,44%,45%
893,63%,76%
887,,60%
894,,89%
897,71%,69%
895,,
898,100%,93%
901,87%,81%
903,94%,93%
899,100%,95%
904,99%,95%
902,88%,91%
907,93%,81%
905,98%,93%
906,88%,90%
908,99%,94%
909,,
910,95%,94%
914,95%,90%
916,97%,93%
911,,50%
918,100%,87%
920,91%,92%
921,96%,84%
924,92%,89%
925,,39%
928,40%,41%
923,100%,90%
931,,
929,95%,81%
933,96%,84%
930,,
927,,
935,100%,82%
937,88%,79%
936,97%,89%
939,50%,74%
938,81%,74%
943,100%,88%
944,93%,83%
946,98%,93%
945,100%,91%
949,85%,90%
947,97%,90%
948,95%,87%
950,98%,93%
953,94%,95%
952,32%,34%
951,98%,90%
954,96%,94%
955,93%,89%
956,94%,75%
958,60%,51%
960,,68%
961,,75%
963,90%,80%
962,,61%
965,,
967,21%,52%
969,98%,86%
968,97%,87%
970,71%,54%
972,88%,49%
973,91%,83%
974,,62%
981,8%,35%
985,,80%
984,17%,23%
983,,74%
982,50%,54%
986,87%,70%
987,,
988,76%,80%
993,,
992,13%,38%
990,31%,34%
996,37%,51%
991,77%,84%
998,68%,90%
1000,17%,58%
1002,80%,29%
999,59%,54%
1003,56%,40%
994,96%,84%
1004,12%,38%
1005,20%,45%
1006,12%,39%
1008,100%,79%
1007,56%,60%
1009,76%,59%
1012,100%,79%
1011,80%,53%
1015,87%,71%
1014,,57%
1020,,43%
1018,13%,23%
1023,,
1016,26%,39%
1025,66%,73%
1022,97%,80%
1024,82%,66%
1026,,52%
1027,51%,72%
1028,100%,86%
1036,94%,94%
1031,66%,74%
1030,54%,60%
1035,83%,91%
1029,98%,70%
1037,34%,31%
1038,81%,48%
1033,70%,78%
1039,17%,
1044,32%,60%
1043,14%,42%
1042,93%,78%
1047,70%,70%
1045,,47%
1049,49%,75%
1046,91%,93%
1050,81%,79%
1051,81%,79%
1052,,
1053,70%,48%
1054,89%,71%
1057,79%,68%
1061,,
1056,81%,73%
1055,0%,18%
1060,87%,89%
1063,54%,58%
1066,47%,57%
1069,94%,87%
1071,,71%
1070,44%,59%
1084,88%,88%
1076,,25%
1078,82%,74%
1080,95%,93%
1083,,
1077,100%,81%
1081,97%,86%
1082,88%,74%
1085,,80%
1089,92%,94%
1093,57%,79%
1091,54%,57%
1088,68%,90%
1094,94%,78%
1092,55%,63%
1086,89%,92%
1090,88%,93%
1095,95%,88%
1098,,68%
1096,78%,85%
1099,,67%
1097,98%,72%
1101,54%,83%
1102,,65%
1103,94%,88%
1100,38%,60%
1106,50%,
1105,,25%
1110,,
1113,,
1112,64%,63%
1115,15%,54%
1121,,43%
1120,88%,80%
1119,57%,43%
1125,84%,82%
1127,89%,83%
1129,,
1124,93%,87%
1126,11%,77%
1130,69%,58%
1128,4%,19%
1131,96%,95%
1136,97%,95%
1138,,100%
1137,,52%
1139,25%,44%
1135,82%,60%
1142,44%,51%
1140,50%,69%
1147,98%,94%
1151,,
1154,100%,74%
1152,86%,60%
1162,83%,86%
1160,,38%
1158,,
1159,,
1165,,38%
1163,,91%
1168,33%,45%
1170,,35%
1167,12%,28%
1169,,
1171,95%,78%
1175,89%,91%
1181,47%,80%
1179,91%,70%
1177,84%,83%
1178,95%,95%
1180,90%,78%
1183,85%,83%
1185,98%,92%
1186,96%,79%
1184,79%,91%
1187,100%,82%
1191,87%,70%
1192,98%,88%
1194,47%,83%
1189,100%,90%
1204,97%,93%
1193,94%,96%
1207,92%,92%
1214,98%,94%
1208,98%,94%
1212,99%,93%
1219,96%,95%
1213,96%,97%
1197,97%,94%
1222,92%,94%
1220,84%,92%
1215,73%,87%
1217,97%,95%
1221,98%,97%
1226,91%,91%
1227,87%,93%
1230,98%,92%
1232,,
1225,93%,95%
1228,93%,93%
1231,96%,90%
1236,,
1240,100%,89%
1235,85%,93%
1238,100%,87%
1243,60%,87%
1242,,
1246,84%,92%
1244,96%,92%
1245,92%,90%
1248,,
1247,87%,90%
1256,92%,91%
1250,95%,93%
1257,,
1255,68%,75%
1253,20%,27%
1252,99%,93%
1258,84%,93%
1254,100%,93%
1265,96%,88%
1266,,
1264,,
1262,94%,95%
1268,81%,84%
1267,80%,63%
1263,93%,92%
1269,81%,92%
1271,74%,91%
1270,96%,94%
1273,87%,94%
1272,94%,93%
1276,100%,95%
1275,69%,79%
1277,,
1278,94%,92%
1274,90%,90%
1279,75%,91%
1282,95%,83%
1281,93%,95%
1283,,50%
1285,93%,83%
1287,86%,89%
1286,61%,88%
1290,78%,80%
1293,85%,92%
1295,85%,84%
1298,69%,89%
1297,73%,83%
1299,93%,92%
1303,97%,90%
1302,87%,86%
1305,97%,93%
1308,,
1309,,36%
1288,95%,92%
1307,91%,89%
1311,,23%
1310,92%,87%
1312,70%,46%
1316,,
1313,17%,47%
1292,95%,92%
1314,,
1291,88%,94%
1315,60%,70%
1317,38%,60%
1322,13%,22%
1318,,56%
1324,,26%
1325,,28%
1328,17%,15%
1327,23%,52%
1323,5%,18%
1331,50%,43%
1333,,
1332,39%,44%
1335,0%,24%
1301,96%,85%
1334,66%,52%
1337,84%,75%
1342,75%,62%
1341,54%,43%
1346,95%,73%
1345,50%,44%
1350,26%,40%
1359,15%,38%
1354,85%,91%
1352,50%,42%
1353,55%,72%
1357,91%,90%
