movie_id,tomatometer,audience_score
4787,73%,66%
4784,79%,67%
4777,63%,89%
4789,85%,84%
4790,60%,47%
4791,,67%
4792,36%,41%
4793,88%,77%
4794,91%,79%
4796,88%,64%
4799,70%,83%
4801,100%,88%
4795,80%,86%
4802,81%,81%
4805,93%,79%
4804,50%,72%
4803,83%,72%
4809,74%,78%
4811,100%,82%
4810,,50%
4813,78%,63%
4814,24%,49%
4815,49%,64%
4818,43%,90%
4816,63%,80%
4821,,
4817,58%,55%
4820,,
4822,29%,38%
4824,70%,81%
4823,58%,79%
4826,90%,78%
4827,13%,21%
4830,75%,73%
4829,20%,64%
4833,83%,79%
4831,7%,37%
4836,75%,63%
4835,86%,86%
4839,33%,36%
4837,50%,48%
4841,,89%
4843,20%,57%
4842,67%,52%
4845,7%,39%
4849,52%,76%
4852,23%,40%
4855,89%,90%
4851,100%,79%
4854,20%,62%
4857,83%,92%
4853,20%,40%
4856,,39%
4859,,
4860,,54%
4862,50%,71%
4863,88%,85%
4865,57%,66%
4867,49%,66%
4864,60%,45%
4868,8%,26%
4870,23%,42%
4866,52%,74%
4871,56%,62%
4874,42%,75%
4873,81%,87%
4872,,
4877,47%,69%
4878,86%,80%
4879,20%,49%
4880,47%,88%
4889,,
4886,96%,90%
4881,81%,85%
4890,49%,45%
4888,77%,76%
4884,89%,74%
4885,24%,37%
4891,24%,60%
4893,9%,44%
4892,39%,45%
4895,,
4899,14%,34%
4898,38%,38%
4897,47%,26%
4900,8%,84%
4903,93%,81%
4901,66%,75%
4905,22%,50%
4906,,51%
4907,81%,79%
4911,50%,47%
4913,,42%
4909,22%,51%
4912,93%,85%
4915,50%,54%
4917,50%,60%
4918,71%,77%
4916,47%,72%
4919,75%,75%
4920,93%,90%
4922,88%,48%
4923,,60%
4924,67%,43%
4925,47%,58%
4927,81%,79%
4929,9%,53%
4931,40%,33%
4932,80%,74%
4930,67%,74%
4933,,87%
4935,,
4934,38%,40%
4937,33%,64%
4936,84%,69%
4939,47%,61%
4942,0%,29%
4940,63%,30%
4943,33%,34%
4945,,
4948,64%,49%
4947,75%,53%
4952,,42%
4949,,8%
4944,6%,25%
4950,57%,66%
4953,63%,24%
4955,11%,42%
4956,89%,74%
4960,60%,49%
4958,,31%
4959,15%,42%
4957,56%,54%
4964,89%,90%
4966,92%,82%
4965,81%,51%
4969,100%,77%
4963,83%,80%
4971,86%,59%
4962,2%,29%
4972,80%,66%
4975,42%,72%
4978,90%,82%
4976,,
4974,29%,55%
4979,80%,89%
4981,80%,65%
4983,,30%
4985,30%,32%
4987,23%,37%
4986,80%,39%
4984,67%,76%
4988,29%,54%
4989,26%,79%
4990,74%,53%
4993,91%,95%
4991,21%,27%
4994,42%,60%
4999,90%,86%
4998,83%,87%
5004,,
5000,96%,79%
5003,38%,41%
5001,,
4997,,64%
5007,90%,67%
5002,57%,59%
5010,76%,88%
5008,100%,95%
5011,33%,62%
5012,65%,75%
5013,86%,78%
5009,68%,65%
5015,85%,67%
5016,55%,61%
5020,,31%
5018,60%,61%
5022,87%,90%
5019,,58%
5021,65%,83%
5023,94%,64%
5014,35%,87%
5025,46%,61%
5029,40%,37%
5030,,29%
5027,21%,35%
5032,93%,
5031,33%,59%
5034,73%,88%
5033,72%,50%
5039,84%,62%
5040,25%,38%
5037,100%,76%
5036,54%,45%
5043,30%,22%
5044,67%,57%
5045,17%,24%
5038,,92%
5046,24%,41%
5035,25%,66%
5048,25%,39%
5049,93%,69%
5054,,
5055,71%,79%
5053,19%,41%
5057,11%,39%
5059,93%,94%
5062,89%,87%
5063,56%,73%
5065,52%,56%
5070,38%,50%
5067,30%,38%
5074,53%,67%
5075,70%,79%
5076,73%,50%
5077,50%,67%
5078,58%,63%
5079,86%,79%
5080,10%,50%
5081,58%,39%
5084,73%,39%
5083,54%,69%
5085,76%,78%
5086,39%,95%
5093,,
5089,,50%
5092,44%,44%
5094,66%,61%
5095,59%,75%
5096,20%,52%
5101,83%,81%
5097,83%,75%
5103,63%,89%
5102,35%,52%
5106,,
5105,95%,76%
5110,35%,90%
5108,23%,78%
5107,59%,48%
5111,26%,54%
5109,46%,38%
5112,79%,73%
5114,79%,86%
5118,92%,73%
5116,82%,69%
5117,33%,55%
5119,93%,87%
5120,36%,51%
5115,,49%
5121,95%,92%
5122,79%,72%
5124,60%,74%
5125,77%,69%
5127,7%,62%
5126,33%,30%
5129,41%,70%
5132,33%,25%
5130,61%,52%
5131,58%,74%
5128,17%,66%
5133,78%,75%
5134,34%,72%
5137,,
5135,95%,87%
5138,0%,74%
5141,50%,41%
5136,60%,30%
5140,6%,28%
5143,,
5139,48%,46%
5144,60%,71%
5150,88%,62%
5151,39%,43%
5152,63%,84%
5153,50%,55%
5155,100%,66%
5149,,27%
5156,100%,50%
5158,67%,74%
5159,63%,63%
5161,9%,40%
5162,50%,79%
5148,,79%
5168,92%,70%
5167,75%,70%
5170,30%,77%
5173,,55%
5175,,
5169,100%,87%
5172,39%,27%
5178,82%,73%
5181,40%,31%
5182,,56%
5176,69%,67%
5184,58%,54%
5188,,38%
5187,73%,77%
5192,40%,63%
5190,,78%
5193,,0%
5185,,54%
5197,57%,74%
5189,55%,41%
5196,71%,93%
5198,96%,89%
5199,83%,74%
5206,42%,38%
5205,71%,49%
5207,43%,64%
5203,75%,39%
5212,33%,31%
5213,50%,38%
5214,72%,60%
5211,17%,39%
5220,,
5218,77%,82%
5219,35%,67%
5215,,44%
5221,49%,76%
5222,83%,65%
5224,96%,96%
5229,,66%
5227,89%,66%
5226,61%,39%
5228,86%,77%
5231,92%,77%
5230,100%,65%
5232,100%,68%
5233,100%,75%
5234,89%,62%
5237,68%,67%
5235,,35%
5239,,
5241,74%,64%
5242,,75%
5244,80%,92%
5245,67%,88%
5246,14%,44%
5247,80%,84%
5249,82%,65%
5258,,
5255,12%,54%
5256,36%,66%
5259,78%,65%
5254,57%,68%
5257,83%,57%
5261,87%,48%
5250,67%,75%
5266,75%,63%
5262,33%,51%
5263,88%,66%
5264,29%,30%
5268,30%,58%
5270,,
5273,34%,81%
5274,25%,41%
5277,40%,39%
5276,36%,55%
5278,,34%
5265,42%,66%
5275,52%,33%
5280,71%,54%
5281,,51%
5283,18%,73%
5271,67%,67%
5279,76%,72%
5282,31%,50%
5285,48%,48%
5288,93%,85%
5289,,50%
5287,82%,61%
5290,67%,53%
5292,85%,89%
5295,5%,39%
5294,74%,78%
5293,77%,53%
5298,,
5297,75%,51%
5296,26%,65%
5300,89%,86%
5299,76%,73%
5302,,
5301,73%,54%
5303,61%,54%
5310,18%,41%
5306,,18%
5309,38%,43%
5308,75%,47%
5311,50%,57%
5312,,
5307,29%,52%
5315,26%,40%
5318,62%,40%
5323,20%,25%
5320,,47%
5324,28%,44%
5322,34%,36%
5326,,31%
5321,48%,51%
5329,64%,82%
5330,40%,
5332,86%,79%
5334,55%,31%
5331,23%,41%
5335,44%,40%
5333,97%,90%
5336,45%,28%
5338,27%,25%
5337,44%,39%
5340,82%,64%
5342,30%,37%
5344,0%,51%
5343,29%,16%
5346,7%,44%
5341,88%,88%
5349,90%,67%
5347,3%,51%
5350,51%,25%
5345,50%,52%
5348,46%,49%
5354,88%,81%
5353,69%,81%
5355,30%,52%
5356,,15%
5358,67%,77%
5359,100%,53%
5357,62%,65%
5361,,14%
5362,71%,47%
5360,9%,42%
5363,63%,42%
5364,50%,68%
5367,97%,75%
5370,,27%
5369,71%,41%
5374,78%,69%
5375,100%,82%
5376,80%,44%
5377,93%,55%
5379,83%,82%
5380,57%,72%
5381,71%,59%
5383,,69%
5384,93%,83%
5382,37%,55%
5386,22%,25%
5385,98%,94%
5389,70%,77%
5390,66%,69%
5394,100%,76%
5396,69%,60%
5397,,50%
5398,,
5395,,
5400,60%,49%
5399,57%,53%
5401,77%,64%
5404,87%,81%
5403,82%,50%
5406,83%,70%
5411,71%,43%
5409,,
5408,64%,39%
5412,0%,38%
5410,68%,66%
5415,45%,65%
5418,83%,93%
5421,77%,79%
5423,71%,77%
5416,51%,55%
5424,33%,33%
5420,33%,50%
5422,73%,63%
5432,0%,37%
5427,26%,54%
5431,71%,50%
5434,,
5435,93%,80%
5436,88%,77%
5439,82%,63%
5441,29%,44%
5440,95%,80%
5443,10%,39%
5446,87%,86%
5451,37%,56%
5449,22%,59%
5448,29%,36%
5447,80%,58%
5445,90%,80%
5453,71%,77%
5452,0%,29%
5457,75%,69%
5456,0%,31%
5454,16%,51%
5458,57%,52%
5455,77%,38%
5461,67%,78%
5463,42%,49%
5464,81%,86%
5462,53%,44%
5468,73%,55%
5467,31%,64%
5469,23%,35%
5471,19%,28%
5474,,44%
5472,69%,84%
5475,93%,93%
5478,48%,32%
5479,61%,52%
5481,53%,44%
5480,81%,41%
5482,31%,33%
5487,56%,31%
5486,23%,51%
5485,78%,57%
5483,91%,80%
5492,33%,41%
5491,,56%
5496,100%,86%
5495,44%,35%
5493,67%,51%
5497,77%,68%
5501,1%,34%
5507,48%,58%
5500,,
5499,73%,53%
5502,74%,67%
5505,82%,59%
5509,79%,73%
5508,86%,87%
5511,93%,86%
5514,67%,83%
5513,39%,69%
5506,53%,40%
5521,50%,51%
5524,61%,58%
5519,10%,66%
5523,4%,19%
5528,82%,65%
5529,4%,26%
5531,48%,47%
5533,,68%
5536,,21%
5537,83%,71%
5540,68%,70%
5538,50%,58%
5541,,
5544,87%,72%
5543,10%,19%
5547,40%,39%
5546,15%,28%
5549,91%,72%
5548,79%,52%
5545,,6%
5551,75%,34%
5550,55%,65%
5553,,
5552,87%,67%
5554,50%,58%
5558,,65%
5555,75%,46%
5562,25%,78%
5564,15%,32%
5566,25%,
5565,54%,89%
5561,,
5567,,13%
5568,44%,63%
5569,62%,50%
5572,83%,62%
5563,48%,40%
5573,9%,39%
5574,54%,73%
5577,76%,80%
5580,22%,67%
5581,50%,40%
5583,58%,31%
5582,23%,52%
5585,17%,50%
5586,,44%
5590,60%,85%
5584,13%,48%
5588,52%,58%
5591,50%,41%
5592,,34%
5593,89%,75%
5596,8%,52%
5598,11%,68%
5597,15%,32%
5600,89%,87%
5605,87%,86%
5604,100%,81%
5603,100%,87%
5609,0%,19%
5606,62%,52%
5611,41%,65%
5613,79%,76%
5610,48%,42%
5602,54%,43%
5615,72%,73%
5616,,29%
5617,76%,82%
5619,95%,78%
5620,38%,78%
5623,53%,54%
5621,21%,30%
5624,18%,29%
5625,63%,66%
5626,81%,75%
5628,43%,69%
5629,66%,74%
5627,59%,85%
5631,25%,46%
5630,68%,74%
5632,92%,91%
5634,72%,31%
5637,96%,77%
5635,51%,54%
5636,55%,56%
5641,79%,62%
5642,85%,64%
5643,56%,81%
5644,93%,89%
5645,55%,46%
5650,75%,81%
5646,55%,69%
5647,,29%
5653,92%,84%
5652,13%,45%
5651,40%,60%
5656,65%,34%
5658,33%,30%
5659,83%,69%
5661,33%,41%
5662,,85%
5660,76%,83%
5665,21%,51%
5664,66%,90%
5666,43%,71%
5663,64%,44%
5667,60%,70%
5668,68%,81%
5673,79%,77%
5669,95%,83%
5670,77%,69%
5676,14%,
5681,,40%
5682,69%,74%
5680,71%,61%
5678,26%,59%
5677,16%,31%
5684,48%,70%
5685,84%,75%
5675,63%,80%
5691,21%,24%
5692,53%,51%
5689,38%,28%
5688,81%,76%
5693,82%,71%
5694,0%,39%
5695,40%,38%
5696,73%,81%
5698,46%,75%
5697,36%,38%
5699,83%,69%
5701,0%,42%
5703,14%,39%
5705,27%,58%
5706,,67%
5707,81%,63%
5710,,56%
5712,83%,82%
5714,63%,43%
5718,,
5721,,39%
5715,,
5719,33%,32%
5723,70%,53%
5729,28%,52%
5727,14%,28%
5731,64%,61%
5728,17%,71%
5732,82%,74%
5740,,
5735,25%,40%
5743,86%,66%
5747,,
5742,,46%
5745,,67%
5751,,83%
5749,35%,43%
5752,95%,81%
5750,,23%
5755,27%,42%
5761,,57%
5760,,
5766,,
5763,100%,84%
5756,0%,23%
5762,45%,74%
5765,,67%
5764,29%,42%
5769,82%,71%
5768,,32%
5771,54%,52%
5775,,80%
5777,,
5783,82%,58%
5780,93%,81%
5784,16%,37%
5785,48%,75%
5787,33%,27%
5789,7%,51%
5786,53%,93%
5792,88%,76%
5793,22%,86%
5791,75%,85%
5797,80%,73%
5796,95%,89%
5798,50%,79%
5800,64%,64%
5795,88%,58%
5803,16%,33%
5801,86%,75%
5802,91%,58%
5805,11%,
5804,56%,42%
5810,75%,54%
5808,35%,39%
5809,,41%
5812,88%,80%
5814,13%,
5807,18%,26%
5815,3%,37%
5817,55%,71%
5816,82%,80%
5820,91%,89%
5819,66%,56%
5823,,57%
5824,20%,36%
5825,96%,91%
5828,,65%
5826,77%,70%
5827,28%,42%
5830,,32%
5829,55%,67%
5833,79%,79%
5832,,68%
5834,83%,69%
5831,,18%
5838,,
5836,64%,72%
5837,0%,19%
5841,0%,41%
5853,,
5846,83%,57%
5852,10%,31%
5847,92%,77%
5848,,58%
5854,86%,62%
5857,67%,30%
5855,50%,62%
5851,78%,34%
5859,,
5863,,52%
5864,,20%
5866,44%,51%
5862,25%,53%
5870,76%,69%
5874,26%,75%
5872,57%,41%
5869,71%,53%
5875,69%,62%
5882,69%,72%
5881,66%,59%
5884,,42%
5880,7%,28%
5883,67%,50%
5868,86%,85%
5887,11%,34%
5890,85%,91%
5892,43%,47%
5894,0%,18%
5893,94%,76%
5896,92%,85%
5898,63%,45%
5899,96%,91%
5900,27%,39%
5904,38%,53%
5903,41%,81%
5907,,
5911,,100%
5908,52%,52%
5914,100%,79%
5917,56%,74%
5918,1%,11%
5916,70%,79%
5922,,
5923,,48%
5928,,
5924,100%,72%
5925,9%,33%
5930,,69%
5927,50%,68%
5926,62%,28%
5932,94%,91%
5931,50%,55%
5933,71%,71%
5935,75%,66%
5934,,35%
5937,83%,82%
5941,82%,70%
5940,86%,72%
5938,71%,71%
5943,38%,43%
5942,22%,59%
5944,38%,49%
5948,73%,61%
5945,85%,74%
5950,40%,36%
5951,84%,74%
5947,64%,78%
5952,95%,95%
5957,42%,59%
5955,79%,86%
5954,78%,85%
5959,84%,79%
5960,67%,51%
5956,73%,81%
5958,80%,51%
5962,8%,23%
5961,,35%
5963,78%,84%
5964,,31%
5965,92%,83%
5968,81%,55%
5969,27%,46%
5967,,33%
5973,,73%
5976,,19%
5977,90%,69%
5978,89%,41%
5980,14%,37%
5981,,62%
5979,71%,30%
5982,52%,63%
5983,82%,56%
5986,100%,85%
5987,33%,86%
5989,96%,89%
5972,,40%
5993,69%,64%
5988,13%,37%
5991,86%,83%
5994,,
5992,80%,84%
5997,,79%
5995,95%,96%
5996,23%,42%
5998,,
5999,10%,36%
6002,53%,76%
6003,79%,75%
6007,24%,36%
6005,92%,79%
6006,20%,47%
6010,36%,29%
6011,38%,63%
6013,8%,29%
6014,11%,45%
6024,,40%
6019,,
6020,94%,71%
6022,78%,90%
6030,,
6028,43%,37%
6029,57%,51%
6031,92%,85%
6033,25%,41%
6034,,56%
6036,30%,64%
6037,25%,52%
6040,9%,34%
6039,35%,38%
6038,50%,52%
6041,67%,82%
6047,,
6046,50%,91%
6045,,69%
6050,,58%
6048,80%,57%
6053,43%,81%
6051,91%,82%
6054,,61%
6049,55%,39%
6057,23%,54%
6059,43%,58%
6060,83%,84%
6062,94%,77%
6058,48%,58%
6063,69%,75%
6061,31%,59%
6052,,70%
6065,88%,76%
6066,80%,64%
6067,14%,60%
6064,,
6068,,28%
6073,,
6071,,72%
6077,90%,72%
6079,14%,33%
6078,38%,42%
6082,100%,78%
6083,75%,62%
6085,,53%
6080,,38%
6087,,77%
6084,93%,64%
6090,,59%
6093,73%,86%
6092,75%,65%
6094,95%,70%
6096,39%,56%
6099,0%,42%
6097,,20%
6101,,50%
6103,0%,19%
6104,,92%
6106,,53%
6102,100%,42%
6111,,
6109,52%,61%
6110,,47%
6112,,
6114,,4%
6117,,33%
6116,9%,76%
6115,73%,52%
6120,70%,42%
6121,62%,71%
6124,,89%
6125,89%,85%
6127,85%,75%
6128,,71%
6131,40%,27%
6129,,67%
6134,,0%
6135,63%,49%
6140,75%,78%
6143,23%,33%
6139,30%,28%
6144,,
6145,,
6137,,30%
6148,92%,73%
6152,17%,46%
6155,42%,77%
6153,6%,39%
6157,44%,35%
6158,18%,30%
6156,66%,54%
6159,71%,77%
6154,44%,76%
6160,83%,88%
6165,17%,83%
6166,27%,38%
6164,,
6162,61%,61%
6169,20%,73%
6170,90%,83%
6174,0%,35%
6175,,23%
6177,40%,45%
6182,88%,73%
6176,79%,67%
6181,83%,72%
6183,93%,87%
6184,82%,69%
6185,59%,52%
6186,8%,64%
6187,19%,81%
6190,87%,58%
6188,60%,86%
6189,29%,
6193,33%,88%
6195,83%,71%
6194,25%,66%
6196,25%,52%
6197,,
6198,80%,68%
6200,71%,66%
6205,50%,39%
6206,,47%
6201,56%,76%
6204,29%,36%
6203,18%,45%
6208,40%,28%
6207,74%,43%
6209,,40%
6211,87%,80%
6213,33%,69%
6212,34%,49%
6215,68%,52%
6220,64%,51%
6217,50%,65%
6218,85%,73%
6223,37%,75%
6222,28%,58%
6221,29%,45%
6225,85%,77%
6229,92%,82%
6228,94%,84%
6234,65%,78%
6231,,71%
6232,94%,86%
6236,83%,77%
6237,88%,80%
6238,60%,50%
6239,83%,69%
6240,15%,32%
6244,93%,93%
6245,83%,74%
6247,83%,75%
6249,7%,36%
6251,70%,64%
6246,,35%
6250,28%,35%
6252,14%,34%
6254,93%,87%
6253,52%,
6260,32%,69%
6259,86%,79%
6263,21%,63%
6264,40%,34%
6266,35%,62%
6265,30%,47%
6267,47%,32%
6268,96%,83%
6269,91%,88%
6272,75%,80%
6273,98%,89%
6277,88%,55%
6275,31%,48%
6274,22%,12%
6279,77%,62%
6276,,49%
6281,72%,64%
6284,43%,77%
6285,34%,47%
6289,80%,67%
6288,81%,79%
6292,76%,62%
6294,23%,38%
6290,20%,65%
6298,31%,54%
6297,78%,76%
6301,83%,82%
6304,19%,60%
6303,67%,72%
6307,,
6305,33%,23%
6306,88%,90%
6308,44%,32%
6313,,
6311,30%,74%
6315,22%,49%
6316,42%,65%
6309,33%,43%
6317,,55%
6314,37%,67%
6321,20%,77%
6320,32%,25%
6322,69%,70%
6324,29%,28%
6326,47%,45%
6323,62%,75%
6310,,45%
6325,34%,29%
6328,41%,82%
6330,44%,31%
6332,41%,49%
6333,85%,85%
6334,80%,65%
6337,79%,75%
6335,64%,76%
6338,27%,48%
6341,64%,65%
6343,79%,54%
6351,73%,63%
6352,,
6346,78%,38%
6353,14%,56%
6354,33%,63%
6349,33%,72%
6347,57%,84%
6356,83%,69%
6365,73%,72%
6358,91%,67%
6368,86%,65%
6367,60%,62%
6369,44%,65%
6357,82%,83%
6366,87%,73%
6375,82%,89%
6373,48%,57%
6374,33%,40%
6376,76%,86%
6377,99%,86%
6378,73%,80%
6379,40%,54%
6380,97%,89%
6384,28%,66%
6385,91%,88%
6390,100%,68%
6386,50%,65%
6388,100%,65%
6391,,60%
6394,83%,85%
6396,63%,35%
6398,67%,80%
6405,,
6402,67%,58%
6403,100%,82%
6401,68%,72%
6407,83%,70%
6406,56%,35%
6410,88%,61%
6411,80%,78%
6409,100%,79%
6408,,90%
6412,96%,82%
6413,64%,57%
6414,80%,78%
6420,50%,55%
6417,,
6421,,
6416,,86%
6422,100%,79%
6423,42%,58%
6430,73%,88%
6429,100%,86%
6427,,33%
6434,,72%
6431,,43%
6432,60%,69%
6428,73%,73%
6436,76%,79%
6437,83%,54%
6439,,100%
6435,,52%
6438,,58%
6441,67%,79%
6445,64%,56%
6440,90%,89%
6443,100%,70%
6446,100%,75%
6448,30%,40%
6452,,
6451,64%,68%
6449,31%,57%
6454,,
6453,95%,75%
6450,78%,81%
6455,50%,76%
6458,,76%
6459,71%,61%
6464,32%,63%
6466,81%,65%
6465,100%,59%
6472,,
6471,100%,69%
6473,50%,32%
6477,88%,80%
6470,83%,74%
6478,80%,75%
6475,13%,47%
6476,,61%
6480,100%,81%
6479,80%,54%
6482,10%,23%
6485,39%,39%
6483,10%,39%
6484,30%,27%
6487,48%,60%
6486,39%,40%
6490,94%,73%
6491,60%,40%
6493,11%,41%
6495,100%,77%
6500,20%,30%
6498,,61%
6501,,42%
6502,87%,85%
6503,42%,40%
6505,50%,52%
6507,20%,55%
6508,61%,71%
6499,92%,71%
6511,79%,60%
6514,,4%
6512,50%,39%
6513,,57%
6518,25%,50%
6515,100%,78%
6519,28%,49%
6520,67%,43%
6522,64%,73%
6523,13%,41%
6527,,
6525,33%,71%
6529,80%,58%
6528,83%,77%
6532,60%,48%
6533,90%,89%
6534,62%,29%
6537,69%,46%
6538,83%,67%
6536,45%,56%
6539,79%,86%
6547,56%,66%
6548,23%,78%
6550,33%,51%
6549,27%,64%
6551,37%,54%
6543,51%,78%
6545,79%,76%
6552,94%,82%
6555,,
6554,43%,61%
6560,0%,26%
6561,90%,73%
6558,13%,50%
6559,36%,63%
6562,,64%
6564,24%,44%
6569,,
6565,78%,76%
6567,73%,72%
6557,,
6568,64%,68%
6566,45%,25%
6574,,
6575,0%,44%
6572,17%,46%
6578,73%,66%
6576,83%,56%
6573,81%,76%
6581,92%,73%
6584,81%,52%
6582,39%,58%
6585,86%,61%
6588,47%,56%
6587,6%,13%
6589,36%,
6590,50%,57%
6592,85%,58%
6591,91%,89%
6599,100%,89%
6598,81%,93%
6595,48%,52%
6602,67%,63%
6600,100%,73%
6606,,55%
6605,,74%
6607,,47%
6612,,83%
6611,97%,93%
6613,42%,41%
6614,56%,63%
6610,95%,69%
6616,,72%
6615,41%,50%
6617,79%,84%
6619,13%,60%
6620,94%,86%
6623,57%,53%
6627,,22%
6626,57%,32%
6625,18%,58%
6628,,57%
6624,38%,32%
6629,26%,42%
6630,100%,84%
6636,85%,79%
6635,40%,53%
6632,57%,41%
6638,56%,86%
6640,100%,74%
6637,,71%
6639,96%,91%
6650,100%,94%
6647,57%,73%
6651,,
6645,86%,74%
6648,86%,74%
6649,75%,80%
6652,89%,54%
6646,35%,58%
6653,40%,43%
6659,86%,75%
6657,95%,68%
6656,,28%
6658,67%,53%
6662,21%,51%
6663,76%,84%
6660,,47%
6672,80%,93%
6667,88%,86%
6670,,28%
6675,,
6669,98%,97%
6676,100%,84%
6681,65%,77%
6679,43%,77%
6680,82%,63%
6678,32%,43%
6685,8%,30%
6686,17%,27%
6691,,
6687,8%,23%
6693,81%,83%
6694,95%,67%
6692,81%,74%
6695,24%,37%
6689,39%,48%
6696,41%,58%
6698,0%,44%
6699,51%,45%
6701,68%,78%
6697,16%,81%
6704,55%,78%
6702,22%,46%
6703,8%,38%
6705,29%,75%
6707,,
6706,73%,72%
6708,82%,74%
6709,66%,64%
6711,95%,85%
6715,,34%
6712,50%,37%
6718,31%,53%
6720,28%,48%
6719,,61%
6716,75%,29%
6731,,
6727,89%,81%
6729,83%,36%
6728,80%,70%
6724,92%,94%
6730,,
6725,12%,44%
6732,43%,76%
6734,24%,32%
6735,,
6739,,59%
6737,29%,41%
6742,67%,39%
6741,73%,52%
6736,9%,50%
6744,18%,39%
6745,,40%
6740,,
6747,,
6746,33%,26%
6749,,52%
6751,12%,23%
6750,40%,44%
6748,83%,68%
6753,60%,84%
6752,42%,66%
6756,58%,50%
6755,78%,79%
6757,50%,40%
6758,8%,
6764,69%,66%
6760,89%,88%
6766,43%,
6765,62%,78%
6763,35%,40%
6767,40%,60%
6769,32%,66%
6770,65%,87%
6775,90%,90%
6761,86%,90%
6774,80%,80%
6776,95%,93%
6779,40%,85%
6777,91%,93%
6782,100%,85%
6785,88%,87%
6786,87%,81%
6788,44%,32%
6787,94%,92%
6784,77%,88%
6797,85%,69%
6795,43%,23%
6799,,75%
6794,23%,30%
6798,83%,81%
6796,96%,93%
6804,50%,48%
6805,,72%
6807,86%,83%
6802,,
6809,85%,50%
6811,47%,75%
6808,91%,89%
6813,67%,75%
6815,38%,49%
6816,67%,73%
6810,20%,61%
6814,22%,24%
6820,89%,78%
6825,,55%
6822,69%,65%
6826,,70%
6821,20%,33%
6817,86%,62%
6824,67%,6%
6827,0%,28%
6829,14%,26%
6833,74%,73%
6830,100%,84%
6834,25%,53%
6832,41%,63%
6836,40%,16%
6831,0%,59%
6838,28%,56%
6841,43%,54%
6840,100%,73%
6842,71%,71%
6845,14%,51%
6844,53%,61%
6846,38%,46%
6847,,66%
6848,44%,37%
6853,,39%
6852,,
6851,81%,74%
6850,,
6854,86%,75%
6856,90%,83%
6864,95%,96%
6860,6%,57%
6863,91%,64%
6862,64%,58%
6861,81%,73%
6865,43%,52%
6871,,
6866,22%,61%
6872,,
6867,94%,89%
6875,52%,53%
6877,58%,80%
6870,88%,89%
6873,75%,48%
6874,85%,81%
6881,84%,73%
6883,,
6886,14%,72%
6879,73%,75%
6885,32%,34%
6887,35%,79%
6888,35%,54%
6889,37%,65%
6891,54%,78%
6890,73%,79%
6884,53%,69%
6894,,22%
6892,39%,40%
6895,100%,76%
6897,,
6896,100%,97%
6898,97%,88%
6899,14%,4%
6901,,39%
6900,86%,78%
6902,,86%
6903,11%,37%
6905,67%,22%
6907,,25%
6912,,59%
6915,,38%
6914,,83%
6911,100%,79%
6913,57%,48%
6916,29%,26%
6923,,54%
6917,,92%
6919,81%,74%
6925,,49%
6924,,71%
6927,42%,49%
6928,64%,73%
6929,,
6926,100%,67%
6930,94%,73%
6932,92%,79%
6934,35%,60%
6933,52%,18%
6936,84%,79%
6938,36%,89%
6942,64%,72%
6945,93%,83%
6948,78%,90%
6947,85%,80%
6946,56%,50%
6951,9%,49%
6952,15%,45%
6955,,
6953,80%,86%
6957,79%,75%
6958,14%,30%
6959,11%,45%
6963,,
6964,91%,70%
6962,88%,75%
6965,82%,86%
6960,,77%
6966,84%,59%
6968,,51%
6972,100%,54%
6967,,29%
6976,,
6970,100%,83%
6974,94%,61%
6973,54%,36%
6977,77%,80%
6979,93%,76%
6980,80%,70%
6978,85%,77%
6986,96%,85%
6989,75%,60%
6991,73%,60%
6993,91%,90%
6994,77%,52%
6995,17%,27%
6997,52%,59%
6992,57%,48%
6999,40%,47%
7000,30%,56%
7002,88%,88%
7004,51%,52%
7003,52%,73%
7006,17%,40%
7007,47%,68%
7009,92%,80%
7005,27%,27%
7015,64%,50%
7013,95%,90%
7012,38%,55%
7016,30%,49%
7019,,71%
7017,24%,38%
7018,87%,67%
7020,62%,59%
7026,,
7027,76%,80%
7028,82%,71%
7030,33%,73%
7021,9%,60%
7029,73%,45%
7032,0%,12%
7035,67%,70%
7036,42%,52%
7041,10%,41%
7038,74%,64%
7039,89%,75%
7040,91%,78%
7044,67%,81%
7046,76%,62%
7050,83%,77%
7049,83%,49%
7052,,44%
7051,29%,56%
7060,,
7053,86%,65%
7058,92%,78%
7062,91%,84%
7061,88%,81%
7059,100%,78%
7065,93%,55%
7070,100%,87%
7072,,39%
7077,95%,69%
7074,100%,89%
7075,96%,94%
7076,97%,85%
7081,91%,70%
7080,96%,74%
7078,95%,82%
7084,97%,89%
7083,90%,81%
7082,78%,70%
7085,57%,75%
7086,,
7091,96%,87%
7089,87%,90%
7094,0%,10%
7095,65%,74%
7098,100%,73%
7100,,25%
7101,68%,50%
7103,,24%
7104,42%,48%
7102,43%,65%
7107,,
7111,50%,73%
7117,21%,32%
7113,,76%
7119,37%,62%
7120,,19%
7123,69%,77%
7124,75%,77%
7127,90%,75%
7130,,
7125,88%,81%
7126,79%,83%
7129,,80%
7128,93%,55%
7133,,24%
7137,77%,69%
7142,21%,71%
7145,82%,76%
7139,89%,91%
7141,90%,93%
7143,66%,83%
7140,92%,80%
7146,68%,50%
7149,72%,69%
7151,72%,68%
7148,13%,65%
7150,61%,35%
7153,93%,86%
7152,23%,35%
7154,34%,60%
7155,74%,67%
